docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match,short stories_match,collection_match,miscellanies_match,selections_match,scenes_match
uiuo.ark+=13960=t9t15n057,"Opie, Amelia","Opie, Amelia",1769-1853.,1812.0,1812.0,s,1812,    ,"London;Printed for Longman, Hurst, Rees, Orme, and Brown;1812.",1812,,,,,,221575901.0,enk,8723699,1,1.0,1.0,v.1,1.0,"Temper ; or, Domestic scenes",,True,"Temper ; or, Domestic scenes",0.1850607451795252,0.0466995096582069,Amelia,f,5.549079754601227,5.904032895479694,29.607361963190183,6.790620648123754,175.82822085889572,334.2772403929392,2.1,['unknown'],['unknown'],"temper ; or, domestic scenes  temper ; or, domestic scenes",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
uiuo.ark+=13960=t88g98n6f,"Scott, Honoria","Scott, Honoria",,1813.0,1813.0,s,1813,    ,London;T. Tegg; [etc.;1813.,1813,,,,,,48103686.0,enk,8718599,1,1.0,1.0,v.1,1.0,"The castle of Strathmay; or, Scenes in the North",,True,"The castle of Strathmay; or, Scenes in the North",0.1311399373892171,0.023948912914393,Honoria,f,5.755102040816326,5.00124947938359,26.565,22.555775,160.835,1402.677775,1.9,['unknown'],['unknown'],"the castle of strathmay; or, scenes in the north  the castle of strathmay; or, scenes in the north",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
nyp.33433076076573,"Corp, Harriet","Corp, Harriet",,1814.0,1814.0,s,1814,    ,"London;Printed for the author annd sold by Gale, Curtis, and Fenner;1814.",1814,,,,,,11856462.0,enk,8661864,1,1.0,1.0,,,"Familiar scenes, histories, and reflections. | $c: By the author of Cottage sketches, Antidote to the miseries of human life, &c.",,True,"Familiar scenes, histories, and reflections",0.3206809696671979,0.4568750045529424,Harriet,f,8.76878612716763,15.36850546292893,26.05464480874317,70.67460957329271,251.3224043715847,8532.109170175281,0.4,['unknown'],['unknown'],"familiar scenes, histories, and reflections. | $c: by the author of cottage sketches, antidote to the miseries of human life, &c.  familiar scenes, histories, and reflections",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
njp.32101068597481,Mrs. Edgworth,"Edgworth, Mrs",,1817.0,1817.0,s,1817,    ,London;Bailey;1817.,1817,,,,,,43450243.0,enk,8973440,1,1.0,1.0,,,"Tales of real life; or, Scenes in Ireland; | suited to the present condition of the Irish peasantry, with characteristic remarks on their national habits and manners ...",,True,"Tales of real life; or, Scenes in Ireland; suited to the present condition of the Irish peasantry, with characteristic remarks on their national habits and manners",0.2392822799544819,0.9692627869990054,Mrs,unknown,17.004424778761063,87.65042289920903,38.40174672489083,44.89536812799146,373.825327510917,5796.231498255183,2.1,['fiction'],['unknown'],"tales of real life; or, scenes in ireland; | suited to the present condition of the irish peasantry, with characteristic remarks on their national habits and manners ...  tales of real life; or, scenes in ireland; suited to the present condition of the irish peasantry, with characteristic remarks on their national habits and manners",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
nnc1.0114003821,"Gamble, John","Gamble, John",d. 1831.,1827.0,1827.0,s,1827,    ,"London;Printed for Baldwin, Cradock, and Joy;1827.",1827,,,,,,63960555.0,enk,8401426,1,1.0,1.0,v.1,1.0,"Charlton; | or, Scenes in Ireland. | $c: By the author of ""Irish sketches,"" &c. &c. ...",,True,"Charlton; or, Scenes in Ireland",0.0899323995484544,0.4333052244463347,John,m,6.507042253521127,6.524598293989287,22.66551724137931,17.03639714625446,192.3068965517241,1867.364435196195,1.4,['unknown'],['unknown'],"charlton; | or, scenes in ireland. | $c: by the author of ""irish sketches,"" &c. &c. ...  charlton; or, scenes in ireland",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
uiuo.ark+=13960=t3zs3cq9p,"Spence, Elizabeth Isabella","Spence, Elizabeth Isabella",,1827.0,1827.0,s,1827,    ,"London;Longman, Rees, Orme, Brown and Green;1827.",1827,,,,,,13364117.0,enk,8719174,1,1.0,1.0,v.1,1.0,"Dame Rebecca Berry; or, Court scenes in the reign of Charles the Second",,True,"Dame Rebecca Berry; or, Court scenes in the reign of Charles the Second",0.1957756552201772,0.1850273400250805,Elizabeth,f,6.078549848942598,4.815582187092122,25.664670658682635,34.19893147836064,163.17664670658684,1770.4687959410523,2.1,['fiction'],['unknown'],"dame rebecca berry; or, court scenes in the reign of charles the second  dame rebecca berry; or, court scenes in the reign of charles the second",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
uva.x030803619,Mrs. Barber,"Barber, Mrs",,1827.0,1827.0,s,1827,    ,London;Printed for the author;1827.,1827,,,,,,21269292.0,enk,9782900,1,1.0,1.0,,,"Scenes of life : | or, The influence of religion / | $c: by Mrs. Barber.",,True,"Scenes of life : or, The influence of religion",0.056008933081444,0.0114912691926423,Mrs,unknown,7.547854785478548,3.7988650350183537,25.98032786885246,15.2717441547971,236.8655737704918,1756.470454178984,2.3,['unknown'],['unknown'],"scenes of life : | or, the influence of religion / | $c: by mrs. barber.  scenes of life : or, the influence of religion",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc1.b3324270,Mr. Deale,Mr. Deale,,1828.0,1828.0,s,1828,    ,"London;C. Chapple, Royal Library;1828.",1828,,,,,,20312659.0,enk,6130870,1,1.0,1.0,v. 1,1.0,"Life in the West; | or, The curtain drawn, a novel. | $c: Dedicated, by permission, to the Right Hon. Robert Peel. Containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. Founded on facts, by a Flat Enlightened.",,True,"Life in the West; or, The curtain drawn, a novel",0.7106808881614979,0.1455974642801723,Mr,unknown,9.173501577287066,39.0519161301237,22.478125,14.012021484375,198.671875,2647.457958984375,2.0,['fiction'],['unknown'],"life in the west; | or, the curtain drawn, a novel. | $c: dedicated, by permission, to the right hon. robert peel. containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. founded on facts, by a flat enlightened.  life in the west; or, the curtain drawn, a novel",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
njp.32101068163672,,,,1830.0,1830.0,s,1830,    ,London;H. Colburn and R. Bentley;1830.,1830,,,,,,7753933.0,enk,8968225,1,1.0,1.0,v.1,1.0,"Frascati's, or, Scenes in Paris.",,True,"Frascati's, or, Scenes in Paris",0.1349552105220284,0.0092695393234158,,unknown,6.889285714285714,8.212742346938775,19.88652482269504,22.75308083094412,177.79078014184398,2211.931404355917,1.8,['fiction'],['unknown'],"frascati's, or, scenes in paris.  frascati's, or, scenes in paris",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.32044051078350,"Warton, John","Warton, John",1770-1841.,1830.0,1830.0,s,1830,    ,London;J. Murray;1830.,1830,4th ed.,,,,,14225729.0,enk,9718675,1,1.0,1.0,v.3,3.0,"Death-bed scenes, and pastoral conversations.",,True,"Death-bed scenes, and pastoral conversations",1.0,0.0,John,m,12.062921348314608,16.454467870218405,33.16888888888889,24.50036543209876,367.3022222222222,4286.699772839507,2.0,['unknown'],['unknown'],"death-bed scenes, and pastoral conversations.  death-bed scenes, and pastoral conversations",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc1.b3123817,"Hogg, James","Hogg, James",1770-1835.,1837.0,1835.0,s,1837,    ,Glasgow;Blackie & son;1837.,1837,v.1. The brownie of Bodsbeck. The wool-gatherer. The surpassing adventures of Allan Gordon. A tale of Pentland. Ewan MʻGabhar.--v.2. The bridal of Polmood. Storms. A shepherd's wedding. Country dreams and apparitions. A story of good Queen Bess. Sound morality. Trials of temper. The fords of Callum. The Cameronian preacher's tale.--v.3. The hunt of Eildon. The adventures of Basil Lee. Adam Bell. Duncan Campbell. An old soldier's tale. Katie Cheyne. The long pack. A country funeral. The shepherd,,,,,9102488.0,stk,3922375,2,3.0,3.0,v.3,3.0,"Tales and sketches, | $c: by the Ettrick Shepherd [pseud.] including The brownie of Bodsbeck, Winter evening tales, Shepherd's calendar, &c., &c. and several pieces not before printed, with illustrative engravings, chiefly from real scenes. By D. O. Hill, esq.",The hunt of Eildon. The adventures of Basil Lee. Adam Bell. Duncan Campbell. An old soldier's tale. Katie Cheyne. The long pack. A country funeral. The shepherd,True,The hunt of Eildon. The adventures of Basil Lee. Adam Bell. Duncan Campbell. An old soldier's tale. Katie Cheyne. The long pack. A country funeral. The shepherd,0.1728516898396271,0.0716673496257297,James,m,16.058333333333334,28.48270833333334,37.42465753424658,28.885419403265143,440.0027397260274,6011.679444548696,1.9,['unknown'],['fiction and juvenile belles lettres'],"tales and sketches, | $c: by the ettrick shepherd [pseud.] including the brownie of bodsbeck, winter evening tales, shepherd's calendar, &c., &c. and several pieces not before printed, with illustrative engravings, chiefly from real scenes. by d. o. hill, esq. the hunt of eildon. the adventures of basil lee. adam bell. duncan campbell. an old soldier's tale. katie cheyne. the long pack. a country funeral. the shepherd the hunt of eildon. the adventures of basil lee. adam bell. duncan campbell. an old soldier's tale. katie cheyne. the long pack. a country funeral. the shepherd",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
mdp.39015074639546,"Hogg, James","Hogg, James",1770-1835.,1837.0,1835.0,s,1837,    ,Glasgow;Blackie & son;1837.,1837,v.1. The brownie of Bodsbeck. The wool-gatherer. The surpassing adventures of Allan Gordon. A tale of Pentland. Ewan MʻGabhar.--v.2. The bridal of Polmood. Storms. A shepherd's wedding. Country dreams and apparitions. A story of good Queen Bess. Sound morality. Trials of temper. The fords of Callum. The Cameronian preacher's tale.--v.3. The hunt of Eildon. The adventures of Basil Lee. Adam Bell. Duncan Campbell. An old soldier's tale. Katie Cheyne. The long pack. A country funeral. The shepherd,,,,,9102488.0,stk,3922375,2,5.666666666666668,4.666666666666667,v.4,4.0,"Tales and sketches, | $c: by the Ettrick Shepherd [pseud.] including The brownie of Bodsbeck, Winter evening tales, Shepherd's calendar, &c., &c. and several pieces not before printed, with illustrative engravings, chiefly from real scenes. By D. O. Hill, esq.",,True,Tales and sketches,0.4193519921403597,0.0340627351792095,James,m,15.595567867036012,30.866905563953623,37.12534059945504,36.38210989761599,429.3378746594005,6764.34905597339,1.3,['unknown'],['fiction and juvenile belles lettres'],"tales and sketches, | $c: by the ettrick shepherd [pseud.] including the brownie of bodsbeck, winter evening tales, shepherd's calendar, &c., &c. and several pieces not before printed, with illustrative engravings, chiefly from real scenes. by d. o. hill, esq.  tales and sketches",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
nyp.33433067294466,"Hogg, James","Hogg, James",1770-1835.,1837.0,1835.0,s,1837,    ,Glasgow;Blackie & son;1837.,1837,v. 1. The brownie of Bodsbeck. The wool-gatherer. The surpassing adventures of Allan Gordon. A tale of Pentland. Ewan MʻGabhar.--v. 2. The bridal of Polmood. Storms. A shepherd's wedding. Country dreams and apparitions. A story of good Queen Bess. Sound morality. Trials of temper. The fords of Callum. The Cameronian preacher's tale.--v. 3. The hunt of Eildon. The adventures of Basil Lee. Adam Bell. Duncan Campbell. An old soldier's tale. Katie Cheyne. The long pack. A country funeral. The sheph,,,,PZ3.H684T,10111704.0,stk,8618317,1,3.0,3.0,v. 2,2.0,"Tales and sketches, | $c: by the Ettrick Shepherd [pseud.] including The brownie of Bodsbeck, Winter evening tales, Shepherd's calendar, &c., &c. and several pieces not before printed, with illustrative engravings, chiefly from real scenes. By D. O. Hill, esq.",The bridal of Polmood. Storms. A shepherd's wedding. Country dreams and apparitions. A story of good Queen Bess. Sound morality. Trials of temper. The fords of Callum. The Cameronian preacher's tale,True,The bridal of Polmood. Storms. A shepherd's wedding. Country dreams and apparitions. A story of good Queen Bess. Sound morality. Trials of temper. The fords of Callum. The Cameronian preacher's tale,0.332392047043058,0.2025814763922008,James,m,14.819639278557114,32.27207922859748,37.689108910891086,29.521168512890885,424.8970297029703,5258.674545632782,2.6,['unknown'],['fiction and juvenile belles lettres'],"tales and sketches, | $c: by the ettrick shepherd [pseud.] including the brownie of bodsbeck, winter evening tales, shepherd's calendar, &c., &c. and several pieces not before printed, with illustrative engravings, chiefly from real scenes. by d. o. hill, esq. the bridal of polmood. storms. a shepherd's wedding. country dreams and apparitions. a story of good queen bess. sound morality. trials of temper. the fords of callum. the cameronian preacher's tale the bridal of polmood. storms. a shepherd's wedding. country dreams and apparitions. a story of good queen bess. sound morality. trials of temper. the fords of callum. the cameronian preacher's tale",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hnp67l,,,,1839.0,1839.0,s,1839,    ,London;Saunders and Otley;1839.,1839,,,Wales|Legends,Mid Glamorgan (Wales),,19674299.0,enk,9732216,1,1.0,1.0,,,The Vale of Glamorgan: scenes and tales among the Welsh.,,True,The Vale of Glamorgan: scenes and tales among the Welsh,0.1832439973203465,0.1234582172148293,,unknown,6.213559322033898,45.21879919563345,16.697986577181208,23.237646952839963,155.76510067114094,2495.615963244899,2.0,['fiction'],['unknown'],the vale of glamorgan: scenes and tales among the welsh.  the vale of glamorgan: scenes and tales among the welsh,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
